"neighborhood","area","bedrooms","pool","date","price"
"Neighborhood 2",2255,2,0,"Sep 2018",596196
"Neighborhood 1",1649,1,0,"Sep 2018",561484
"Neighborhood 2",2352,2,0,"Sep 2018",723643
"Neighborhood 2",2056,1,1,"Sep 2018",777422
"Neighborhood 1",1411,1,0,"Sep 2018",437483
"Neighborhood 1",1353,1,0,"Sep 2018",614237
"Neighborhood 2",2137,2,1,"Sep 2018",598459
"Neighborhood 2",2428,3,0,"Sep 2018",694725
"Neighborhood 2",2301,2,0,"Sep 2018",613735
"Neighborhood 2",2313,2,0,"Sep 2018",663707
"Neighborhood 1",1330,1,0,"Sep 2018",643010
"Neighborhood 2",2407,2,0,"Sep 2018",740567
"Neighborhood 2",2177,2,0,"Sep 2018",572756
"Neighborhood 1",1232,1,0,"Sep 2018",499483
"Neighborhood 1",1632,1,0,"Sep 2018",467722
"Neighborhood 1",1429,1,0,"Sep 2018",637058
"Neighborhood 1",1510,1,0,"Sep 2018",728475
"Neighborhood 1",1283,1,0,"Sep 2018",525030
"Neighborhood 1",1507,1,0,"Sep 2018",718344
"Neighborhood 1",1718,1,1,"Sep 2018",640299
"Neighborhood 1",1399,1,0,"Sep 2018",492117
"Neighborhood 1",1242,1,0,"Sep 2018",539946
"Neighborhood 1",1368,1,0,"Sep 2018",631358
"Neighborhood 1",1522,1,0,"Sep 2018",368089
"Neighborhood 1",1838,1,0,"Sep 2018",404975
"Neighborhood 1",1788,1,0,"Sep 2018",572749
"Neighborhood 2",2035,2,1,"Sep 2018",750412
"Neighborhood 2",2588,3,0,"Sep 2018",547956
"Neighborhood 2",2260,3,0,"Sep 2018",723259
"Neighborhood 1",1542,1,0,"Sep 2018",613609
"Neighborhood 1",1393,2,0,"Sep 2018",748864
"Neighborhood 1",1550,1,0,"Sep 2018",655455
"Neighborhood 1",1306,1,0,"Sep 2018",525780
"Neighborhood 1",1510,1,0,"Sep 2018",605356
"Neighborhood 2",2181,2,1,"Sep 2018",803685
"Neighborhood 1",1755,1,0,"Sep 2018",478913
"Neighborhood 1",1406,2,0,"Sep 2018",527705
"Neighborhood 1",1393,1,0,"Sep 2018",599935
"Neighborhood 2",2597,4,0,"Sep 2018",619598
"Neighborhood 2",2291,3,0,"Sep 2018",626515
"Neighborhood 2",2358,2,0,"Sep 2018",651153
"Neighborhood 2",2255,2,0,"Sep 2018",696095
"Neighborhood 2",2016,2,0,"Sep 2018",654461
"Neighborhood 2",2079,2,0,"Sep 2018",543479
"Neighborhood 1",1666,2,0,"Sep 2018",506763
"Neighborhood 1",1571,1,0,"Sep 2018",674109
"Neighborhood 1",1590,1,0,"Sep 2018",740675
"Neighborhood 2",2367,2,0,"Sep 2018",607155
"Neighborhood 2",2211,2,1,"Sep 2018",830272
"Neighborhood 1",1676,1,0,"Sep 2018",363080
"Neighborhood 1",1478,1,0,"Sep 2018",562523
"Neighborhood 2",2193,2,0,"Sep 2018",617187
"Neighborhood 1",1647,1,0,"Sep 2018",568486
"Neighborhood 1",1206,1,0,"Sep 2018",510726
"Neighborhood 2",2301,3,0,"Sep 2018",587017
"Neighborhood 2",2299,3,0,"Sep 2018",634498
"Neighborhood 1",1575,1,0,"Sep 2018",628541
"Neighborhood 1",1633,1,0,"Sep 2018",526646
"Neighborhood 1",1489,1,0,"Sep 2018",724598
"Neighborhood 2",2257,2,0,"Sep 2018",595042
"Neighborhood 1",1534,1,0,"Sep 2018",416069
"Neighborhood 1",1740,1,0,"Sep 2018",459555
"Neighborhood 1",1666,2,0,"Sep 2018",341523
"Neighborhood 1",1760,1,0,"Sep 2018",356230
"Neighborhood 2",2109,2,0,"Sep 2018",683200
"Neighborhood 1",1244,1,0,"Sep 2018",482621
"Neighborhood 1",1313,1,0,"Sep 2018",520495
"Neighborhood 1",1573,1,1,"Sep 2018",508901
"Neighborhood 1",1498,2,0,"Sep 2018",652958
"Neighborhood 1",1382,1,0,"Sep 2018",478262
"Neighborhood 2",2254,2,0,"Sep 2018",651481
"Neighborhood 2",2161,2,0,"Sep 2018",596347
"Neighborhood 2",2375,2,0,"Sep 2018",669878
"Neighborhood 1",1685,1,0,"Sep 2018",500548
"Neighborhood 1",1481,1,0,"Sep 2018",441542
"Neighborhood 2",2468,2,0,"Sep 2018",451891
"Neighborhood 2",2673,2,0,"Sep 2018",472992
"Neighborhood 1",1696,1,0,"Sep 2018",552603
"Neighborhood 1",1320,1,0,"Sep 2018",428339
"Neighborhood 2",2301,2,0,"Sep 2018",633436
"Neighborhood 1",1547,1,0,"Sep 2018",600866
"Neighborhood 2",2013,2,0,"Sep 2018",562487
"Neighborhood 2",2085,2,0,"Sep 2018",723268
"Neighborhood 1",1358,1,1,"Sep 2018",459703
"Neighborhood 2",2364,2,0,"Sep 2018",756280
"Neighborhood 1",1239,1,0,"Sep 2018",791021
"Neighborhood 1",1665,1,0,"Sep 2018",648364
"Neighborhood 1",1616,1,0,"Sep 2018",413124
"Neighborhood 1",1229,1,0,"Sep 2018",646319
"Neighborhood 1",1564,1,0,"Sep 2018",525705
"Neighborhood 1",1447,2,0,"Sep 2018",417782
"Neighborhood 2",2283,2,0,"Sep 2018",664634
"Neighborhood 2",2045,3,0,"Sep 2018",601261
"Neighborhood 1",1263,1,0,"Sep 2018",523621
"Neighborhood 1",1537,1,0,"Sep 2018",524573
"Neighborhood 1",1601,1,0,"Sep 2018",255176
"Neighborhood 2",2316,2,1,"Sep 2018",862992
"Neighborhood 2",2737,2,0,"Sep 2018",578125
"Neighborhood 1",1511,1,0,"Sep 2018",522041
"Neighborhood 1",1776,1,0,"Sep 2018",445466
"Neighborhood 1",1678,2,0,"Sep 2018",457412
"Neighborhood 1",1205,1,0,"Sep 2018",430091
"Neighborhood 1",1902,1,0,"Sep 2018",701145
"Neighborhood 1",1681,1,0,"Sep 2018",375501
"Neighborhood 2",2162,2,0,"Sep 2018",752022
"Neighborhood 2",2354,2,0,"Sep 2018",593537
"Neighborhood 1",1626,1,0,"Sep 2018",422417
"Neighborhood 1",1756,1,0,"Sep 2018",469959
"Neighborhood 2",2240,2,1,"Sep 2018",592087
"Neighborhood 1",1221,2,0,"Sep 2018",517094
"Neighborhood 2",2084,1,0,"Sep 2018",688228
"Neighborhood 2",2608,2,0,"Sep 2018",623692
"Neighborhood 1",1516,1,0,"Sep 2018",710269
"Neighborhood 1",1654,1,0,"Sep 2018",586864
"Neighborhood 1",1531,1,1,"Sep 2018",572170
"Neighborhood 1",1398,1,0,"Sep 2018",516272
"Neighborhood 2",2014,3,0,"Sep 2018",786138
"Neighborhood 1",1552,2,1,"Sep 2018",395224
"Neighborhood 1",1740,1,0,"Sep 2018",631681
"Neighborhood 2",2092,2,0,"Sep 2018",734006
"Neighborhood 2",2077,3,0,"Sep 2018",593639
"Neighborhood 2",2053,2,0,"Sep 2018",661432
"Neighborhood 2",2006,2,0,"Sep 2018",771580
"Neighborhood 1",1587,1,0,"Sep 2018",471517
"Neighborhood 2",2340,2,1,"Sep 2018",704800
"Neighborhood 2",2209,2,0,"Sep 2018",700020
"Neighborhood 1",1565,2,0,"Sep 2018",286833
"Neighborhood 1",1722,3,0,"Sep 2018",301928
"Neighborhood 1",1978,1,0,"Sep 2018",633915
"Neighborhood 1",1648,1,0,"Sep 2018",496067
"Neighborhood 1",1320,1,0,"Sep 2018",506592
"Neighborhood 1",1652,1,0,"Sep 2018",557386
"Neighborhood 2",2560,2,0,"Sep 2018",678341
"Neighborhood 2",2148,2,0,"Sep 2018",506220
"Neighborhood 2",2184,2,0,"Sep 2018",619582
"Neighborhood 1",1761,1,0,"Sep 2018",490605
"Neighborhood 1",1589,1,0,"Sep 2018",643688
"Neighborhood 1",1330,1,0,"Sep 2018",607092
"Neighborhood 2",2225,2,0,"Sep 2018",678261
"Neighborhood 2",2441,2,0,"Sep 2018",634045
"Neighborhood 1",1290,1,0,"Sep 2018",536694
"Neighborhood 2",2268,2,0,"Sep 2018",778462
"Neighborhood 2",2297,3,0,"Sep 2018",492936
"Neighborhood 1",1501,1,0,"Sep 2018",397415
"Neighborhood 2",2710,2,1,"Sep 2018",739851
"Neighborhood 1",1216,1,0,"Sep 2018",400846
"Neighborhood 2",2345,3,0,"Sep 2018",671254
"Neighborhood 2",2373,2,0,"Sep 2018",675927
"Neighborhood 2",2140,3,0,"Sep 2018",618769
"Neighborhood 1",1599,1,1,"Sep 2018",570874
"Neighborhood 1",1693,2,0,"Sep 2018",407049
"Neighborhood 1",1603,1,0,"Sep 2018",480550
"Neighborhood 1",1278,1,0,"Sep 2018",402481
"Neighborhood 1",1442,2,0,"Sep 2018",660110
"Neighborhood 2",2266,2,0,"Sep 2018",701227
"Neighborhood 2",2459,3,1,"Sep 2018",584580
"Neighborhood 1",1885,1,0,"Sep 2018",744123
"Neighborhood 1",1415,1,0,"Sep 2018",307145
"Neighborhood 2",2356,2,0,"Sep 2018",557913
"Neighborhood 2",2407,2,0,"Sep 2018",519717
"Neighborhood 1",1460,1,0,"Sep 2018",520299
"Neighborhood 1",1716,2,1,"Sep 2018",659812
"Neighborhood 1",1384,1,0,"Sep 2018",354717
"Neighborhood 1",1458,1,0,"Sep 2018",417634
"Neighborhood 2",2056,2,0,"Sep 2018",523600
"Neighborhood 1",1418,1,0,"Sep 2018",487093
"Neighborhood 2",2397,2,0,"Sep 2018",696411
"Neighborhood 2",2325,2,0,"Sep 2018",641034
"Neighborhood 2",2221,2,0,"Sep 2018",691689
"Neighborhood 1",1579,3,0,"Sep 2018",558646
"Neighborhood 2",2482,3,0,"Sep 2018",850565
"Neighborhood 2",2286,2,0,"Sep 2018",622024
"Neighborhood 2",2096,2,0,"Sep 2018",494603
"Neighborhood 1",1233,1,0,"Sep 2018",267871
"Neighborhood 1",1962,1,0,"Sep 2018",471529
"Neighborhood 1",1430,1,0,"Sep 2018",598741
"Neighborhood 2",2303,3,1,"Sep 2018",763394
"Neighborhood 1",1436,1,0,"Sep 2018",476494
"Neighborhood 1",1414,1,0,"Sep 2018",507377
"Neighborhood 1",1454,1,0,"Sep 2018",429490
"Neighborhood 2",2110,2,0,"Sep 2018",702319
"Neighborhood 2",2248,2,0,"Sep 2018",824293
"Neighborhood 2",2114,2,0,"Sep 2018",510818
"Neighborhood 1",1489,1,0,"Sep 2018",498682
"Neighborhood 1",1426,1,0,"Sep 2018",271167
"Neighborhood 1",1595,1,0,"Sep 2018",467138
"Neighborhood 1",1488,1,0,"Sep 2018",498909
"Neighborhood 2",2295,2,0,"Sep 2018",566286
"Neighborhood 2",2141,2,0,"Sep 2018",800524
"Neighborhood 1",1300,1,0,"Sep 2018",424206
"Neighborhood 2",2330,2,0,"Sep 2018",651929
"Neighborhood 1",1396,1,0,"Sep 2018",633998
"Neighborhood 1",1942,1,0,"Sep 2018",638893
"Neighborhood 1",1565,1,0,"Sep 2018",539465
"Neighborhood 1",1245,1,0,"Sep 2018",633643
"Neighborhood 1",1916,2,0,"Sep 2018",549813
"Neighborhood 1",1610,2,0,"Sep 2018",557387
"Neighborhood 2",2408,4,0,"Sep 2018",486460
"Neighborhood 2",2240,2,1,"Sep 2018",446498
"Neighborhood 1",1902,1,0,"Sep 2018",664909
"Neighborhood 1",1442,1,0,"Sep 2018",796780
"Neighborhood 1",1596,2,0,"Sep 2018",608794
"Neighborhood 2",2080,2,0,"Sep 2018",677081
"Neighborhood 2",2293,2,0,"Sep 2018",712474
"Neighborhood 2",2346,1,0,"Sep 2018",701789
"Neighborhood 1",1224,1,0,"Sep 2018",663541
"Neighborhood 2",2282,4,1,"Sep 2018",595793
"Neighborhood 2",2196,2,0,"Sep 2018",786541
"Neighborhood 2",2539,2,0,"Sep 2018",690163
"Neighborhood 1",1685,1,0,"Sep 2018",547277
"Neighborhood 2",2202,2,1,"Sep 2018",578058
"Neighborhood 2",2299,3,0,"Sep 2018",621605
"Neighborhood 1",1336,1,0,"Sep 2018",724396
"Neighborhood 1",1370,1,0,"Sep 2018",583011
"Neighborhood 1",1798,1,0,"Sep 2018",629841
"Neighborhood 1",1312,1,0,"Sep 2018",433186
"Neighborhood 2",2233,2,0,"Sep 2018",570099
"Neighborhood 1",1265,1,0,"Sep 2018",623708
"Neighborhood 1",1659,1,0,"Sep 2018",538294
"Neighborhood 2",2153,2,0,"Sep 2018",691177
"Neighborhood 2",2289,2,1,"Sep 2018",618440
"Neighborhood 1",1341,1,0,"Sep 2018",643400
"Neighborhood 1",1698,2,1,"Sep 2018",524895
"Neighborhood 2",2207,2,0,"Sep 2018",770238
"Neighborhood 2",2202,2,0,"Sep 2018",577021
"Neighborhood 1",1921,1,0,"Sep 2018",584515
"Neighborhood 2",2431,2,1,"Sep 2018",655542
"Neighborhood 1",1865,1,0,"Sep 2018",422345
"Neighborhood 2",2441,2,0,"Sep 2018",856481
"Neighborhood 2",2074,3,0,"Sep 2018",650529
"Neighborhood 2",2474,2,0,"Sep 2018",918514
"Neighborhood 1",1579,1,0,"Sep 2018",672129
"Neighborhood 1",1481,2,0,"Sep 2018",740255
"Neighborhood 2",2347,2,0,"Sep 2018",787652
"Neighborhood 2",2270,4,1,"Sep 2018",531803
"Neighborhood 2",2297,2,0,"Sep 2018",587820
"Neighborhood 2",2264,2,1,"Sep 2018",517135
"Neighborhood 1",1648,2,0,"Sep 2018",348361
"Neighborhood 1",1727,1,0,"Sep 2018",677981
"Neighborhood 2",2046,2,1,"Sep 2018",342016
"Neighborhood 2",2676,2,0,"Sep 2018",460810
"Neighborhood 1",1659,1,0,"Sep 2018",644824
"Neighborhood 1",1651,1,0,"Sep 2018",379545
"Neighborhood 2",2287,2,1,"Sep 2018",737402
"Neighborhood 1",1437,1,0,"Sep 2018",641621
"Neighborhood 1",1485,1,0,"Sep 2018",548559
"Neighborhood 1",1315,1,0,"Sep 2018",585492
"Neighborhood 1",1747,1,0,"Sep 2018",682270
"Neighborhood 1",1537,1,0,"Sep 2018",712681
"Neighborhood 1",1668,1,0,"Sep 2018",606754
"Neighborhood 2",2176,2,0,"Sep 2018",735341
"Neighborhood 2",2668,2,0,"Sep 2018",848413
"Neighborhood 2",2071,2,0,"Sep 2018",719050
"Neighborhood 1",1634,1,0,"Sep 2018",697275
"Neighborhood 1",1227,1,0,"Sep 2018",711353
"Neighborhood 1",1633,1,1,"Sep 2018",708134
"Neighborhood 2",2276,3,0,"Sep 2018",608116
"Neighborhood 1",1645,1,0,"Sep 2018",573062
"Neighborhood 2",2327,2,0,"Sep 2018",679377
"Neighborhood 1",1559,1,0,"Sep 2018",601051
"Neighborhood 1",1313,3,0,"Sep 2018",452477
"Neighborhood 2",2282,2,0,"Sep 2018",863748
"Neighborhood 2",2314,2,1,"Sep 2018",643806
"Neighborhood 1",1750,3,0,"Sep 2018",607347
"Neighborhood 1",1796,1,0,"Sep 2018",737004
"Neighborhood 2",2195,2,0,"Sep 2018",705501
"Neighborhood 2",2121,3,1,"Sep 2018",530741
"Neighborhood 2",2187,2,0,"Sep 2018",918704
"Neighborhood 2",2435,1,0,"Sep 2018",495620
"Neighborhood 1",1718,1,0,"Sep 2018",414880
"Neighborhood 2",2062,2,0,"Sep 2018",658218
"Neighborhood 1",1437,1,0,"Sep 2018",578191
"Neighborhood 2",2017,1,0,"Sep 2018",498059
"Neighborhood 1",1874,1,0,"Sep 2018",385334
"Neighborhood 2",2061,2,0,"Sep 2018",615896
"Neighborhood 1",1555,2,0,"Sep 2018",517173
"Neighborhood 2",2428,3,0,"Sep 2018",585529
"Neighborhood 1",1374,1,0,"Sep 2018",508342
"Neighborhood 1",1684,1,0,"Sep 2018",577376
"Neighborhood 1",1542,1,0,"Sep 2018",654451
"Neighborhood 2",2097,3,0,"Sep 2018",591203
"Neighborhood 2",2368,2,0,"Sep 2018",622803
"Neighborhood 2",2445,2,0,"Sep 2018",601142
"Neighborhood 1",1442,1,0,"Sep 2018",748654
"Neighborhood 2",2336,2,0,"Sep 2018",496333
"Neighborhood 1",1378,3,0,"Sep 2018",529487
"Neighborhood 1",1409,3,0,"Sep 2018",423526
"Neighborhood 1",1772,1,0,"Sep 2018",428822
"Neighborhood 2",2324,2,0,"Sep 2018",532107
"Neighborhood 1",1205,1,0,"Sep 2018",589660
"Neighborhood 2",2192,2,0,"Sep 2018",729980
"Neighborhood 2",2365,2,0,"Sep 2018",811872
"Neighborhood 1",1521,3,0,"Sep 2018",630468
"Neighborhood 1",1540,1,0,"Sep 2018",507138
"Neighborhood 2",2574,2,0,"Sep 2018",704217
"Neighborhood 1",1412,1,0,"Sep 2018",665630
"Neighborhood 1",1351,2,0,"Sep 2018",700528
"Neighborhood 1",1648,1,0,"Sep 2018",770215
"Neighborhood 1",1595,2,0,"Sep 2018",565243
"Neighborhood 1",1549,1,1,"Sep 2018",512987
"Neighborhood 1",1553,1,0,"Sep 2018",347502
"Neighborhood 1",1829,1,0,"Sep 2018",460142
"Neighborhood 1",1697,1,0,"Sep 2018",288460
"Neighborhood 2",2189,2,0,"Sep 2018",648042
"Neighborhood 2",2382,3,0,"Sep 2018",518273
"Neighborhood 2",2156,2,1,"Sep 2018",485976
"Neighborhood 1",1431,1,1,"Sep 2018",583102
"Neighborhood 1",1470,2,0,"Sep 2018",672445
"Neighborhood 1",1445,1,0,"Sep 2018",412808
"Neighborhood 1",1746,1,0,"Sep 2018",437735
"Neighborhood 1",1419,1,1,"Sep 2018",717365
"Neighborhood 2",2274,2,0,"Sep 2018",871838
"Neighborhood 2",2451,2,0,"Sep 2018",724303
"Neighborhood 1",1282,1,0,"Sep 2018",615656
"Neighborhood 2",2332,3,0,"Sep 2018",803720
"Neighborhood 1",1617,1,0,"Sep 2018",730533
"Neighborhood 1",1694,1,0,"Sep 2018",434010
"Neighborhood 2",2097,2,0,"Sep 2018",485735
"Neighborhood 1",1637,1,0,"Sep 2018",550329
"Neighborhood 1",1709,1,1,"Sep 2018",543245
"Neighborhood 1",1533,1,0,"Sep 2018",540175
"Neighborhood 2",2472,2,0,"Sep 2018",535752
"Neighborhood 1",1572,1,0,"Sep 2018",560223
"Neighborhood 2",2058,3,0,"Sep 2018",600326
"Neighborhood 1",1721,2,0,"Sep 2018",734973
"Neighborhood 1",1643,1,0,"Sep 2018",656267
"Neighborhood 1",1363,1,0,"Sep 2018",531209
"Neighborhood 2",2129,1,1,"Sep 2018",537305
"Neighborhood 1",1658,1,0,"Sep 2018",445204
"Neighborhood 1",1765,1,0,"Sep 2018",565574
"Neighborhood 2",2108,2,1,"Sep 2018",509535
"Neighborhood 1",1901,2,0,"Sep 2018",582627
"Neighborhood 1",1757,1,0,"Sep 2018",579341
"Neighborhood 2",2086,3,0,"Sep 2018",606744
"Neighborhood 2",2421,2,0,"Sep 2018",669877
"Neighborhood 2",2050,2,0,"Sep 2018",520672
"Neighborhood 1",1523,1,0,"Sep 2018",393236
"Neighborhood 1",1687,1,0,"Sep 2018",434897
"Neighborhood 1",1767,1,0,"Sep 2018",786522
"Neighborhood 1",1696,2,0,"Sep 2018",431057
"Neighborhood 1",1631,1,0,"Sep 2018",649850
"Neighborhood 1",1701,2,0,"Sep 2018",452762
"Neighborhood 1",1449,1,0,"Sep 2018",518306
"Neighborhood 1",1882,1,0,"Sep 2018",347874
"Neighborhood 2",2463,3,0,"Sep 2018",727968
"Neighborhood 1",1640,2,0,"Sep 2018",268684
"Neighborhood 1",1363,2,1,"Sep 2018",588630
"Neighborhood 1",1432,1,0,"Sep 2018",643773
"Neighborhood 1",1296,1,0,"Sep 2018",658025
"Neighborhood 2",2093,2,0,"Sep 2018",551702
"Neighborhood 1",1830,1,0,"Sep 2018",424777
"Neighborhood 1",1861,1,1,"Sep 2018",399285
"Neighborhood 1",1220,1,0,"Sep 2018",610464
"Neighborhood 2",2023,2,0,"Sep 2018",933465
"Neighborhood 2",2056,2,0,"Sep 2018",664041
"Neighborhood 1",1805,1,0,"Sep 2018",628611
"Neighborhood 1",1949,1,0,"Sep 2018",498657
"Neighborhood 2",2170,2,0,"Sep 2018",397570
"Neighborhood 1",1590,2,1,"Sep 2018",658225
"Neighborhood 1",1530,1,0,"Sep 2018",535037
"Neighborhood 1",1439,1,0,"Sep 2018",492776
"Neighborhood 1",1775,1,0,"Sep 2018",480571
"Neighborhood 1",1810,1,0,"Sep 2018",589970
"Neighborhood 2",2162,3,0,"Sep 2018",766736
"Neighborhood 1",1492,1,0,"Sep 2018",527125
"Neighborhood 1",1300,2,0,"Sep 2018",478893
"Neighborhood 1",1735,1,0,"Sep 2018",421101
"Neighborhood 1",1526,1,0,"Sep 2018",449159
"Neighborhood 1",1484,3,0,"Sep 2018",729476
"Neighborhood 2",2004,1,0,"Sep 2018",424088
"Neighborhood 1",1549,2,0,"Sep 2018",551372
"Neighborhood 2",2131,2,0,"Sep 2018",427838
"Neighborhood 2",2005,2,1,"Sep 2018",631786
"Neighborhood 2",2055,3,0,"Sep 2018",656197
"Neighborhood 1",1407,3,0,"Sep 2018",645742
"Neighborhood 1",1510,1,0,"Sep 2018",701197
"Neighborhood 2",2462,2,1,"Sep 2018",641443
"Neighborhood 1",2118,1,0,"Sep 2018",379395
"Neighborhood 2",2136,2,1,"Sep 2018",506089
"Neighborhood 1",1700,2,0,"Sep 2018",431098
"Neighborhood 2",2205,3,0,"Sep 2018",633589
"Neighborhood 1",1407,1,0,"Sep 2018",481560
"Neighborhood 2",2378,2,0,"Sep 2018",523405
"Neighborhood 2",2155,2,0,"Sep 2018",532360
"Neighborhood 2",2161,2,0,"Sep 2018",445542
"Neighborhood 2",2152,3,1,"Sep 2018",744738
"Neighborhood 1",1600,1,0,"Sep 2018",481511
"Neighborhood 2",2013,2,0,"Sep 2018",490267
"Neighborhood 2",2504,3,0,"Sep 2018",611064
"Neighborhood 1",1273,2,0,"Sep 2018",638098
"Neighborhood 1",1241,1,0,"Sep 2018",487616
"Neighborhood 1",1322,1,0,"Sep 2018",619993
"Neighborhood 2",2182,2,0,"Sep 2018",545577
"Neighborhood 1",1368,1,0,"Sep 2018",389063
"Neighborhood 1",1446,1,0,"Sep 2018",618963
"Neighborhood 2",2200,2,0,"Sep 2018",597859
"Neighborhood 1",1546,3,0,"Sep 2018",575895
"Neighborhood 1",1640,1,0,"Sep 2018",413922
"Neighborhood 1",1757,2,0,"Sep 2018",602175
"Neighborhood 1",1228,1,0,"Sep 2018",419009
"Neighborhood 2",2268,3,0,"Sep 2018",786850
"Neighborhood 2",2215,2,0,"Sep 2018",847744
"Neighborhood 2",2466,2,0,"Sep 2018",727083
"Neighborhood 1",1513,1,1,"Sep 2018",627757
"Neighborhood 2",2290,3,0,"Sep 2018",722924
"Neighborhood 1",1612,1,0,"Sep 2018",759904
"Neighborhood 1",1536,1,0,"Sep 2018",793693
"Neighborhood 1",1969,1,0,"Sep 2018",517758
"Neighborhood 2",2066,2,0,"Sep 2018",843580
"Neighborhood 1",1662,1,0,"Sep 2018",674360
"Neighborhood 2",2271,2,0,"Sep 2018",626683
"Neighborhood 1",1493,1,0,"Sep 2018",527179
"Neighborhood 1",1323,2,0,"Sep 2018",700797
"Neighborhood 2",2174,2,0,"Sep 2018",569853
"Neighborhood 1",1594,1,0,"Sep 2018",648822
"Neighborhood 1",1840,1,0,"Sep 2018",410905
"Neighborhood 1",1834,1,0,"Sep 2018",412684
"Neighborhood 2",2168,3,0,"Sep 2018",486422
"Neighborhood 2",2041,2,0,"Sep 2018",524765
"Neighborhood 1",1535,1,0,"Sep 2018",463252
"Neighborhood 2",2013,2,0,"Sep 2018",762733
"Neighborhood 2",2038,2,0,"Sep 2018",919129
"Neighborhood 2",2512,4,0,"Sep 2018",431733
"Neighborhood 1",1399,1,0,"Sep 2018",318812
"Neighborhood 1",1521,1,0,"Sep 2018",515626
"Neighborhood 2",2547,1,0,"Sep 2018",610500
"Neighborhood 2",2227,2,1,"Sep 2018",637333
"Neighborhood 2",2457,2,0,"Sep 2018",668794
"Neighborhood 2",2010,2,0,"Sep 2018",527425
"Neighborhood 1",1264,1,0,"Sep 2018",628767
"Neighborhood 2",2132,2,0,"Sep 2018",784246
"Neighborhood 1",1667,1,0,"Sep 2018",254463
"Neighborhood 1",1552,2,0,"Sep 2018",441820
"Neighborhood 1",1304,2,0,"Sep 2018",478668
"Neighborhood 1",1947,1,0,"Sep 2018",412903
"Neighborhood 1",1383,1,0,"Sep 2018",677874
"Neighborhood 1",1319,1,0,"Sep 2018",576612
"Neighborhood 1",1321,1,0,"Sep 2018",405080
"Neighborhood 1",1394,1,0,"Sep 2018",750715
"Neighborhood 2",2279,3,0,"Sep 2018",894064
"Neighborhood 2",2534,2,0,"Sep 2018",591574
"Neighborhood 2",2081,2,0,"Sep 2018",821371
"Neighborhood 2",2498,2,0,"Sep 2018",506833
"Neighborhood 1",1552,2,0,"Sep 2018",679400
"Neighborhood 1",1456,2,0,"Sep 2018",674418
"Neighborhood 1",1808,1,0,"Sep 2018",543867
"Neighborhood 1",1251,1,0,"Sep 2018",572702
"Neighborhood 2",2245,4,0,"Sep 2018",667279
"Neighborhood 1",1751,1,0,"Sep 2018",535626
"Neighborhood 1",1451,1,0,"Sep 2018",435501
"Neighborhood 1",1375,3,0,"Sep 2018",651876
"Neighborhood 1",1297,1,0,"Sep 2018",503221
"Neighborhood 2",2140,3,0,"Sep 2018",824577
"Neighborhood 2",2153,2,0,"Sep 2018",758410
"Neighborhood 1",1490,1,0,"Sep 2018",731796
"Neighborhood 2",2496,3,0,"Sep 2018",596271
"Neighborhood 1",1320,1,0,"Sep 2018",364230
"Neighborhood 1",1314,1,0,"Sep 2018",376215
"Neighborhood 1",1750,1,0,"Sep 2018",721272
"Neighborhood 1",1860,1,0,"Sep 2018",570211
"Neighborhood 1",1374,2,0,"Sep 2018",448560
"Neighborhood 1",1462,1,0,"Sep 2018",678328
"Neighborhood 1",1251,1,0,"Sep 2018",568784
